Metabolism	Pathway	Module	KO	gene_name	if_key	NCBIfam	pfam	Refseq	EC	gene function	COG	Taxonomy	Reaction	Note															
C1 and methane metabolism	Formate oxidation	Formate oxidation (fdoHG/fdwB)	K00123	fdoG						formate dehydrogenase major subunit																			
C1 and methane metabolism	Formate oxidation	Formate oxidation (fdoHG/fdwB)	K00124	fdoH	yes					formate dehydrogenase iron-sulfur subunit																			
C1 and methane metabolism	Formate oxidation	Formate oxidation (fdhAB)	K22516	fdhA	yes					formate dehydrogenase (coenzyme F420) alpha subunit																			
C1 and methane metabolism	Formate oxidation	Formate oxidation (fdhAB)	K00125	fdhB						formate dehydrogenase (coenzyme F420) beta subunit																			
C1 and methane metabolism	Methyl amine -> formaldehyde	Methyl amine -> formaldehyde (mauAB)	K15228	mauA	yes					methylamine dehydrogenase light chain																			
C1 and methane metabolism	Methyl amine -> formaldehyde	Methyl amine -> formaldehyde (mauAB)	K15229	mauB						methylamine dehydrogenase heavy chain																			
C1 and methane metabolism	Formaldehyde oxidation	Formaldehyde oxidation	K00148	fdhA						glutathione-independent formaldehyde dehydrogenase																			
C1 and methane metabolism	Formaldehyde oxidation	Formaldehyde oxidation	K01070	fghA						S-formylglutathione hydrolase																			
C1 and methane metabolism	Formaldehyde oxidation	Formaldehyde oxidation	K00121	frmA						S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase																			
C1 and methane metabolism	Formaldehyde oxidation	Formaldehyde oxidation	K00153	mycoS_dep_FDH						S-(hydroxymethyl)mycothiol dehydrogenase																			
C1 and methane metabolism	Formaldehyde oxidation	Formaldehyde oxidation	K10713	fae						"5,6,7,8-tetrahydromethanopterin hydro-lyase"																			
C1 and methane metabolism	Methanogenesis	Methanogenesis (mcrA_methanogen)	K00399-methanogen	mcrA_methanogen	yes					methyl-coenzyme M reductase alpha subunit	NA	Methanogens		methanogen and methanotroph mcrA have the same KEGG. Should be classified by other approach															
C1 and methane metabolism	methane oxidation	Methane oxidation (mcrA_methanotroph)	K00399-methanotroph	mcrA_methanotroph	yes					methyl-coenzyme M reductase alpha subunit	NA	Methanogens																	
C1 and methane metabolism	methane oxidation	Methane oxidation sMMO (mmoX)	K16157	mmoX	yes					methane monooxygenase component A alpha chain																			
C1 and methane metabolism	methane oxidation	Methane oxidation pMMO (pmoABC)	K10944-pmoA	pmoA	yes	NF045802				methane/ammonia monooxygenase subunit A				pmoA and amoA have the same KEGG. Should be classified by other approach															
C1 and methane metabolism	methane oxidation	Methane oxidation pMMO (pmoABC)	K10945-pmoB	pmoB	yes	NF045804				methane/ammonia monooxygenase subunit A				pmoA and amoA have the same KEGG. Should be classified by other approach															
C1 and methane metabolism	methane oxidation	Methane oxidation pMMO (pmoABC)	K10946-pmoC	pmoC	yes	NF045803				methane/ammonia monooxygenase subunit A				pmoA and amoA have the same KEGG. Should be classified by other approach															
C1 and methane metabolism	Methanogenesis;methane oxidation	Methyl-CoM <=> Methane (mcrBGCD/atwA)	K00401	mcrB						methyl-coenzyme M reductase beta subunit	NA	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Methyl-CoM <=> Methane (mcrBGCD/atwA)	K00402	mcrG						methyl-coenzyme M reductase gamma subunit	NA	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Methyl-CoM <=> Methane (mcrBGCD/atwA)	K03421	mcrC						methyl-coenzyme M reductase subunit C	NA	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Methyl-CoM <=> Methane (mcrBGCD/atwA)	K03422	mcrD						methyl-coenzyme M reductase subunit D	NA	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Methyl-CoM <=> Methane (mcrBGCD/atwA)	K00400	atwA						"methyl coenzyme M reductase system, component A2"	COG1123	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00581	mtrE					7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit E																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00580	mtrD					7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit D																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00579	mtrC					7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit C																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00578	mtrB					7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit B																			
